company_id,company_name
379,BANCO POPULAR DE PUERTO RICO
380,"D&A SERVICES, LLC"
381,"MRS BPO, LLC"
382,"LTD FINANCIAL SERVICES, L.P."
383,ASSOCIATED MORTGAGE CORP
384,"SEQUIUM ASSET SOLUTIONS, LLC"
385,"KEYPOINT MORTGAGE, LLC"
386,"RENTDEBT AUTOMATED COLLECTIONS, LLC"
387,LCI ACQUISITION INC.
388,"MORTGAGEPROS, LLC"
389,"MCCULLOUGH PAYNE & HAAN, LLC"
390,"CAPIO PARTNERS, LLC"
391,PAYWARD VENTURES INC. DBA KRAKEN
392,ARMED FORCES LOANS OF NEVADA INC.
393,MONEYGRAM PAYMENT SYSTEMS WORLDWIDE INC
394,"CALIFORNIA BUSINESS BUREAU, INC."
395,"MERCHANTS & MEDICAL ADJUSTMENT BUREAU, INC. DBA CREDIT BUREAU ASSOCIATES"
396,ZIP CO US INC.
397,"CHECKR, INC"
398,CREDIT CARD ACQUISITIONS GROUP
399,"AMSHER COLLECTION SERVICES, INC."
400,"CREDITNINJA LENDING, LLC"
401,SUNCOAST CREDIT UNION
402,"GFS II, LLC"
403,"RFNA, LP"
404,"HERBERT P. SEARS CO., INC."
405,21ST MORTGAGE CORP.
406,PATIENT ACCOUNTING SERVICE CENTER
407,SELF FINANCIAL INC.
408,"SYNERPRISE CONSULTING SERVICES, INC."
409,THRIFT INVESTMENT CORP.
410,MINNESOTA OFFICE OF HIGHER EDUCATION
411,TENET HEALTHCARE CORPORATION
412,"REVCO MANAGEMENT, LLC"
413,"FCC FINANCE, LLC"
414,"SOUTHWEST CREDIT SYSTEMS, L.P."
415,"CASHCALL, INC."
416,"ASPEN PROPERTIES GROUP, LLC"
417,"HAYT HAYT & LANDAU, P.L. (FL)"
418,UMB FINANCIAL CORPORATION
419,HANCOCK WHITNEY BANK
420,"PINNACLE CREDIT SERVICES, LLC"
421,DIVERSE FUNDING ASSOCIATES LLC
422,"COLLECTECH DIVERSIFIED, INC."
423,T.S. HOLDINGS
424,"EVERGREEN RECOVERY SOLUTIONS, LLC"
425,"STEIN LAW, P.C."
